UserId,Location,Rating,Headline,Review,Date,Value Rating,Food Rating ,Service  Rating ,Atmosphere  Rating 
oldkitchentable,Unknown,4,Best Lunch in Town!,"We’re locals and have visited DV for many meals over the years. The food is reliably good, likely the best Italian in the Fairfax area. 
We’ve hosted an event in the Cantina, enjoyed apps and dinner in the wine bar and dinner in the main restaurant. 
Overall, we find the best value is Lunch. 
The menu offers reasonably priced categories of entrees that include beverage, bread and choice of salads. 
Service is usually very good.",1/27/2019,4,4,4,4
hankorej,Ocean Isle Beach,4,"Very Popular, Very Busy","Very popular place with minimal parking so valet parking is almost a must. The best thing about La Dolce Vita is that the food is very good with generous potions. After that a few flaws.Adequate wait staff but minimal interest in the customer. Wine list ok but heavy on little known wines. The restaurant itself is nice in a sort of neighborhood tavern style but it is sorely in need of a complete makeover.
I'll come back for the food!",1/20/2019,4,4,3,4
BirTurk,Tysons Corner,4,Close to authentic!,"Great wood fired pizza unburned! Strongly recommend octopus. Very delicate authentic Italian dishes. Try grilled calamar, not fried. Two things we don't like- they still pick your plate up as soon as you finish your meal. Very un-European! Second and the most important, the parking problem. I don't like valet parking and to park myself and keep the key. That's not the case in Dolce Vita. That's why try to go there after 9 pm once the crowd is gone and you can park without abandoning your key to the attendants.",1/3/2019,4,4,4,4
Mariela R,Unknown,4,Great food!,"Great place to go on a Thursday night with your family, co-workers, friends, your partner in life or just by yourself. 

 I made an open table reservation for four since the restaurant is always full.  As an appetizer we had the mozzarella caprese. The cheese was delicious! Everything we ordered was very good. The servers were very attentive. 

I totally recommend you to go and see for yourself!
Enjoy,",12/24/2018,4,4,4,4
Leigh L,Unknown,5,Phenominal food! Fun atmosphere!,We loved our meal and the wine selection was fabulous! The ambiance is exactly what you want in the North End! All Italian all the way!,12/19/2018,5,5,5,5
Paul R,Vienna,4,Outstanding lunch,"Had lunch there twice. Both times had Farfalle Ostia for $9.99, which includes a soft drink (with refills) and choice of house or Cesar salad. The dish is pasta with chicken and mushrooms in a cream sauce that's outstanding. Excellent value for the money.",12/11/2018,5,5,4,5
megah118,West Babylon,3,Decent Local Restaurant,We ate in the wine bar section of the restaurant.  The wines we had were delicious and they had a nice selection.  Crisp tasty bread was served.  The portions were large.  Our salads were fresh.  I had one of the best Cesar salads I've ever had.  My shrimp parm. was good.  We were way too full for dessert.  Good meal at a good price.  Everyone in my group was happy!,11/11/2018,4,4,4,4
Oldpeter69,Saint Louis,4,Good Italian place,"This is a pretty busy place with quite tight seating options. If you are going on the weekend you better have a reservation.
The food was really great and the price/value was good.
The pizza tasted great, penne a la vodka is always awesome, maybe the lasagna was not my favorite but that’s all about preference",11/10/2018,4,4,4,4
sailingboat,Fairfax,5,WIne Bar is Great!,"Our friends made a reservation for four and that was confirmed, but we later learned that the wine bar takes reservations only for parties of six or more. But when we showed up, the staff worked to make this error right. They found us seats at the bar and reassured us that this first come first served spot would make an exception for us. We just started to enjoy our drinks when a table opened and before we could even start to consider the many tempting plates, a plate of bacon-wrapped shrimp appeared ""on the house,"" the restaurant's way of saying ""sorry for the inconvenience."" So what a great start to what might have been a disappointing experience! Even without the lovely and gracious hospitality, this place would still get rave reviews from me. Staff as noted are cheerful, helpful, and on hand when you need them. The small plates are so good and presented with a lot of style. Note to self. In future, pace yourself! No need to order everything at one time. The truffle dusted shoestring fries are lovely to share. Loved the trio of artichokes on stem--like veggie lollipops, and the creamy gnocchi and shrimp--oh boy! Some small plates are just ok. The meatballs and shortribs are a bit lacky in flavor and the calamari with beans, which should have been hearty, was just bland. But overall, the food is really good. An added bonus, you can order anything from the full restaurant menu if you want to, but it would be a shame to miss out on these lovely small plates. It's a really fun way to spend time with good friends over shared dishes. Great decor, great ambience, great food, great staff! We liked this very much and will come again.",10/29/2018,5,5,5,5
Don S,Fairfax,5,Top five lunchron place in NoVa,"Very cozy atmosphere and excellent choices for lunch.  Reasonable prices.  Lunch includes salad, bread and drink with entrée. The pasta with sausage is so good that each time I go I can't avoid ordering it.",10/15/2018,5,5,5,5
Iris H,Fairfax,5,Wine Bar is the Hidden Gem,"We have been coming here for several years and never really noticed the Wine Bar next door.  This is truly my favorite spot now - seating is not crowded, subdued lighting & cozy.    And they have outdoor seating  What's great is you can order from their small plates menu - which is extensive, OR the main restaurant's menu.  I had the grilled Scallop Trio - just WOW!!  The truffle & parmesan fries are yummy and enough to share.  My husband is a pizza fan - he tried the flat bread pizza and ended up ordering another.  The main Restaurant is great, albeit a little crowded for seating, and the booth seats are too shallow for me. Try any of the wood fired pizzas - but the grilled calamari is terrific!",10/13/2018,5,5,5,5
Ronald H,Oak Grove,5,Solo Italian,"Prima Italiano!  Might not have even noticed this little gem if it weren’t right next door to my hotel. It is tucked into a small-ish strip between a tire store and Exxon station. Reservations aren’t required but I’d advise it just due to limited capacity. The locals obviously know this secret as I was seated at the bar next to the hostess and nearly all who came in had reservations. I did not. But as luck would have it, I was seated immediately nonetheless. The pizza oven by the front door has more character than most (see pic below). 

The bread and oil were light and fresh. A hint of citrus in the oil was a nice change to most of the olive oils in other restaurants. 

I selected the seafood and fettucini dish known as Fettuccine Ai Frutti Di Mare with freshly made fettucini, scallops, jumbo shrimp, lump crab and portabello mushrooms all in a white wine cream sauce. IT WAS DELIGHTFUL!!  And in just the right serving size to allow me to indulge in one of my all time favs - tiramisu. 

Don’t blink or you’ll miss it but even if you do, make a Uturn. You’ll be happy you did. 

There’s also an adjacent wine bar which was rented out for a party since it is normally closed on Sundays according to the lovely hostess Caroline.",9/29/2018,4,4,4,4
psujmu,Springfield,5,Great Italian,"Took the wife and son for her Birthday and took a chance and short drive to Dolce Vita...It as a first visit and the decor was ok, became more comfortable as the night went on as the service and food were excellent! The stone fired oven gives the restaurant some character. I had a different and tasty salad with melon, tomato and balsamic that as a great first start. We ended up taking food home as the portions were generous. I will return.",9/18/2018,4,4,4,4
51Bob,Montross,3,"Good food,poor ambience","Small,very crowded and noisy detract from good food and service.Still worth the visit though.And,free valet service is nice.",8/18/2018,4,4,4,4
madweber16,Annandale,3,Commercial,Tasted like everything was bought commercially instead of made on premises. Had to beg for more water.,8/12/2018,4,4,4,4
fransmom,Mount Vernon,1,2:30,"I don’t even want to give this a 1 because despite saying that they were open they refused to seat my family when we went there after my husbands citizenship ceremony. The sent us with my 12 year old to their empty wine bar next
Door to be served. We checked the website before heading over and as we sat in the car looking for an alternative, customers were exiting the building. The person who met us at the entrance said you can go to the wine bar to eat. Looking at
My child she said “I guess that she can eat over there”.
When we walked into the wine bar just to
check it out the bartender seemed surprised that we were sent over. It was inappropriate for a child as it was obviously a bar.To give the guy credit he did say “Yeah I guess that I can serve you.”
Rude staff, we will not try it again and recommend others don’t either.",8/10/2018,4,4,4,4
jchizzon,Clinton,4,Really fresh seafood,Wanted a salad with a protein.  Asked at my hotel for a recommendation and they said Dolce Vita.  I ordered arugula with corn/tomato salad and scallops.  It had a lemon oil dressing. Delicious!  The scallops were the freshest I have had in ages. Recommend it!,8/2/2018,4,4,4,4
EMG10605,Fairfax,3,After many years we won’t be going back,This was always a favorite of ours. However on our last 2 visits the food was ok but the service not very good. My biggest pet peeve is having your entree arrive when your first course isn’t even half finished. This time we even waited to order our main course so we could finish our salads but they still were served before we finished.   We were really disappointed.,7/31/2018,4,4,4,4
Mary P,Unknown,5,Italian to satisfy New Jerseians,"My husband is from New Jersey, and he says this place tastes like any of the ""legit"" Italian places back home. I, a mere Virginian, just like the food-consistently delicious Italian comfort food and seafood. Never had the pizza but it looks amazing, and the wood fired oven is shaped like a face. The service is always friendly and prompt and food comes quickly. The wine bar next door has a great happy hour, too. Highly recommend.",7/28/2018,4,4,4,4
greatguyindc,Washington DC,4,Great Italian in a Down Home Family Environment,"Authentic Italian food served by friendly staff in a clean, friendly, family-style setting.  On the main drag of of strip malls and other establishments so a bit deceiving from the outside.  This is just a nice comfortable place for a no muss no fuss Italian meal.",7/10/2018,4,4,4,4
inarlington,Unknown,3,"Food is very good, but the service for our planned, special event was NOT","Let me start by saying this review is specifically about hosting a special event in the Cantina, which is Dolce Vita's private party room, in a building immediately next to the restaurant. (If it were for the food alone, I would give 4 or maybe 5 stars, so regular diners should go and enjoy. The food is very good.) 
I want people considering having their event in the Cantina to be aware of our experience. While the food was very good, the service and attention to our private event was lacking. The executive chef, who had been my contact all along, all but grunted at us upon arrival - seriously, shockingly rude - and the waiter assigned to us was a nice guy and capable, but completely alone; no additional help was given to him for every bit of taking orders, serving drinks and multiple courses, and clearing the table between (which he could not realistically manage)  courses. Our guests were gracious and kind, but there were lots of plates left on the table and people waited a long time for drinks and refills, etc.  This was a private dinner for 22 people.  It was not manageable for one waiter, no matter how good they were.  Additionally, the private bathroom in the Cantina could definitely have been cleaner, and the light fixture was busted so they had a standing lamp in there. It wasn't quite the image I'd imagined. Overall, they could make this room amazing, but it comes across as if they didn't care, which was painful since this was a special night for my family.  
I emailed the restaurant to voice my concerns, but have not heard back. 
Positives: The food and wine were great, the waiter was nice and as capable as one person could be with such a crowd. Also, you can use their bluetooth to play your own music, and they have a screen for a slideshow or whatever you'd want for your group. 

This space has so much promise, but it is a bit run down. They definitely need to give it more attention - it's a unique space that few restaurants have.",7/4/2018,4,4,2,4
Gary G,Unknown,5,Excellent anniversary dinner!,"My wife and I enjoyed a wonderful anniversary dinner here. I had a delicious, perfectly prepared rockfish piccata on linguine with lump crab meat, and my wife had the succulent Tuscan pork chop dish. We began with prosecco and a nice melon/arugula salad and finished with a delicious tiramisu and coffee. The hostess, servers, and owner were warm and friendly, giving us personal, attentive service that made us both feel welcome and our celebration special. We'll be back!",6/13/2018,4,4,4,4
beanienva,Fairfax,3,Service s...l...o...w,"Food good enough to go back if you’re not going to make it at home, but not great. BUT THE SERVICE IS VERY, VERY S.L.O.W. With A full bar, I asked for a martini with a lime twist. I was told I should get a lemon twist instead, lime is hard to get a twist off of. I told the server I get what I ask for at Artie’s all the time, as well as can do it at home no problem.  To their credit, I think they spiraled a whole lime and I got the benefit of an inches long lime rind in my martini which was good. But really to tell a customer they should order something else instead of what they asked for when it is not something off the chart and they have a full bar?  I did leave a very good tip based on my bill total as I was appreciative.  But if anyone knows of an excellent Italian restaurant in this area I would love to learn of it.",5/26/2018,4,4,4,4
Tasha W,Hollidaysburg,5,Graduation Dinner,We came here for my niece's college graduation. There was 10 of us and we got  different meals to try. Mostly everyone enjoyed their meal. Dessert was good and we got some appetizers to share. The staff was nice. The restaurant is a little pricey depending on what you get. It was a nice place to go for a special occasion.,5/18/2018,4,4,4,4
FFXTravelers,Fairfax,2,Disappointing,"I'm a local, so i""ve heard of DV for years, always rave reviews, so maybe it was because it had been hyped in my head that it was such a disappointing experience. We went for Mother's Day and the group of 6 were excited, as reviews praised the food and atmosphere. Well... the food was not good, nobody in the group had a dish they liked enough to take ""leftovers"". All 6 members had different items off of the menu, Steak, Pastas, Chicken, Seafood and most everyone stopped eating during their meal and did not like it enough to continue. 

The beer and wine selection is good, but that""s about all this place has going for it. 

As someone who has been to Italy in the last month, this is certainly not authentic Italian food. There was no flavor to the sauces, nor was the pasta fresh tasting. I would not recommend Dolce Vita, unfortunately.",5/16/2018,1,1,3,1
ebcamc,Harrisonburg,2,Disappointing bartender,"Love, love the restaurant and the wine bar, however last evening at the wine bar, the bartender was dismissive, unfriendly, and quite frankly pretentious.  This is not the usual service for this establishment.  This experience has left me in quandary...do I visit again?",5/11/2018,1,1,1,1
ellendee2014,Warrenton,4,Best Italian Food I have had since back in States,"The food, services and wine are excellent, TOP Quality.  The setting is not as good. Loud and over crowded and you have to go through Kitchen to go to a Restroom and only one women can get into it at a time. It also took 7 minutes for someone to greet me so I could find the person I was meeting who was already seated.",4/29/2018,5,5,4,5
Howard R,Oakton,5,Awesome appetizers and wine,"Double dated to the wine bar.  Awesome food and drink and our waitress was a blast.  Pizza, risotto balls and meatballs were awesome starts.   We had not been in a while but will return soon.",4/20/2018,4,4,4,4
icoachu,Orlando,5,"Go for the food, staff & reviews---Return just because...","On the recommendation of the manager at our Hampton Inn, we walked across the street to this gem. Of course we checked the reviews and had high expectations. We were not disappointed. We sat at the bar and the bartenders not only greeted us, but introduced themselves and remembered our names all night. This place was packed with regulars. Happy hour prices on wine were exceptional, along with the appetizers. We sat next to a regular of 20 years and she guided us through a wonderful array of foods: Dolce Gamberi (sauted shrimp in a pernod cream sauce) was out of this world; and 'make your own' flatbread allowed us to pair with the wine, a hearty super Tuscan. We topped off the first night with an incredible lava cake. I don't have enough adjectives to describe the meal and the staff.  We returned (read: 'ran back') the next night and ate at a cozy table on the restaurant side of the bar. Again, the traditional Italian dishes of Bolognese and Sausage & peppers were outstanding. Dolce Vita had us wishing we lived locally. If arriving after, 6:30 p.m. you will want to make reservations.",4/11/2018,4,4,4,4
Matthew C,Fairfax,3,Tried to see what was better than before. Didn't happen.,"It had been years since we last went here. Many years ago I went every year with friends and our daughters before Father/Daughter dances and the kids always had a great time and they were great hosts. 

When it came to going as a couple and expecting fine dining, we were always left expecting more. When the wine bar opened up next door we tied that too. pizza in waffle cones isn't a thing. Unless your five.

So we stopped going. Then we started to see and hear reviews that said there was a new owner and new perspective and that they even were selected in local magazines as being a top destination. Still, we couldn't bring ourselves to brave the afternoon or evening horrible traffic for a chance that it was more than it was before.

Last week my wife had an appointment on that side of town one afternoon so we decided to meet there for happy hour. That won't happen again. 

Granted we didn't go into the restaurant but rather stayed at the bar.

Mixed drinks were very good but some common liguor selections are not to be found. Wine selection is average at best. Food was ok but nothing really exciting. Staff argued with each other constantly and the environment was odd as the bar was open but they also had a local business group holding a meeting there complete with demo tables of products. 

Needlessly, how they were voted Best Happy Hour in Northern Virginia is a complete mystery. Stay in the car for 10 more minutes and drive to Fairfax Corner.",3/27/2018,3,3,3,3
travelingbeachbum00,Rehoboth Beach,4,Authentic Italian,We had a great meal with homemade pasta.  Red cream sauce was very tasty.  Started with the house salad and it was very fresh with a great vinaigrette dressing.  Service was very friendly and attentive.,3/13/2018,4,4,4,4
Paulie_1955,Fairfax,5,"Authentic, creative Italian food","Some friends of ours recommended this place after they had eaten there, so we tried it. We were not disappointed. The service was outstanding and the food just as good! We have been back several times and have always been happy with our meals. The chef, Anthony has done a great job with the menu items and has creative specials as well.",3/2/2018,5,5,5,5
dandeg,Fairfax,3,Great atmosphere for a small dinner,"We have been to Dolce Vita for many years - used to love the live italian music and singing, I have not seen that recently.  The make up of the meals have changed recently, but I feel you can still find a good italian seafood dinner - I tend to stay away from the pastas because I want to go for something I don't make at home.",2/17/2018,3,3,4,3
fiamma11,Tysons Corner,2,Not as Good As I Had Hoped.,"My husband ordered spaghetti marinara but it was orange in color and looked like Chef Boyardee. I ordered the grilled calamari ensalata. The salad was good but the calamari tasted fishy and I could not enjoy it. I ate the salad underneath and surrounding it and left the calamari sadly behind. On a positive note, the wine was very good and was priced very well, so I might return for the wine and try a different entree. Service was very good and the decor interesting with murals of Italian greats.",2/12/2018,3,2,4,2
Lois K,Fairfax,4,Big Birthday Party,"Large group party, hors d'oerves good, margarete pizza ok.  Wife has Salmon (very good) with clams & mussels.  I had Capellinni Bolognese (good),  Tiramisou and cannoli desserts were tasty.  Good selection of fairly priced beers and wines.  Service solid in the party environment.",2/3/2018,4,4,3,4
anakarerina,Reston,3,Service very good.,"Not sure if they switched managers/ owners or chef. This time around I was a bit disappointed. My carbonara did not taste like fresh pasta, neither too Italian.
It was more toppings than sauce. Everything was rough chop, and it did not leave anything to shine in the dish.

The same thing happened with a risotto, there was so much going on in the dish that again you were not entirely sure what you were eating.

Basically, my recommendation is you are looking for simple Italian food, this will not be the place.Maybe it used to, or maybe it was just this time around.

The restaurant is still pricey, but the portions are huge.

The best thing that we order was the zucchini rollatini, that was simple and delicious and pretty unique.",1/29/2018,3,3,5,3
Sharon M,Roanoke,4,Great authentic Italian Restaurant,Authentic Italian dishes.   The food and atmosphere here is wonderful.  I am sure the noodles are homemade.  The portions are large and filling.   The booths are intimate.  The appetizers are the best around and the lava cake for dessert is fabulous.   The only complaint is the service is slow but believe this is more to give patrons privacy,1/28/2018,4,4,4,4
Pete078,Unknown,3,Maybe we came too early,Vitello Saltimbocca tasted like was left over from lunch and warmed up.  The pizza was way too gooey.  The service was very good.,1/22/2018,4,4,4,4
Tom S,Nashville,5,"Authentic, excellent Italian","We visited Dolce Vita for the first time and found our new favorite Italian restaurant.  All dishes are authentic Italian and delicious.  The restaurant is casual, you can come in your jeans or come dressed up. There are larger booths that can fit a family or group of 6-8 and smaller tables suitable for 2 or 4. Ask for a table toward the back of the restaurant for quiet conversation.  The front has a bit more energy - good for a family celebration.  Our server was Italian as well and conveyed the Italian spirit of 'food is family, food is celebration'.  We had a great evening, came away thoroughly impressed, and hope to return for dinner soon!",1/10/2018,5,5,5,5
Deborah M,Port Saint Joe,5,Great Food and Service,"Went here for lunch on a very cold day & was immediately warmed up by a welcoming staff member & the heat coming off the brick oven. Sat where I wanted, which is a plus for me. Prices were extremely reasonable & included a soda, menu items were varied & all sounded yummy. I chose a chicken parm sandwich with a side Caesar salad 🥗. Came with shaved Parmesan cheese on it along with homemade croutons. The sandwich was huge! Tasted delicious and I was also served some rustic bread with butter & Parmesan along with oil on the side. Couldn’t finish my sandwich so I took it home to an appreciative husband. Will go again before this trip is over!",1/7/2018,4,4,4,4
EMG10605,Fairfax,5,Our go to Italian restaurant,"This is a tried and true Italian restaurant in Fairfax City.   If we have a craving for Italian, this is were we go.  We especially love their antipasta  plate.  We often share it before our entrée.  The wine list is quite good as well.  The ambience is very Italian!",1/3/2018,4,4,5,4
Bob B,Oakton,4,pranzo con mio amico,I used to come here a lot but haven't been here recently.  This is one of the few pizza places that make pizza in a wood fired oven.  It really does taste different.  It was the first business day after the new year.  Not busy.  Good service. good food.  The server (Angel) was very attentive and checked back with us often.  Great place.  I have always had a good experience here.,1/2/2018,3,4,5,4
ilikedetectives,Fairfax,5,Great restaurant!,"My office had our holiday party here and the experience was wonderful. We got the buffet style for dinner, which made it so much easier for everyone since we have a lot of people. The food was delicious and the staff were very attentive to our requests. Overall, great catering service!",1/2/2018,5,5,5,5
Michelle S,Alexandria,4,House-made pasta - YUM!,"I was looking for an independent restaurant away from any mall areas for an early dinner during the last shopping days of Christmas.  Found this place online - what a hidden treasure!!  We arrived just after 5pm and had the place to ourselves.  For 15 minutes.  The reason it's so popular became apparent when the grilled calamari was brought out.  Perfection!!  The pasta is house-made.  The panna cotta was light and airy and a perfect way to close out dinner.  A nice wine list and great service round out this review.  I will definitely make the effort to return.  Great meal, great service - just perfect!",12/26/2017,4,4,4,4
ReviewByGCB,Bethesda,5,"Exceptional Italian restaurant in Fairfax, VA.","Excellent Italian restaurant, Staff is outstanding, friendly, prompt, professional and courteous. Angel, Jose, Victor were excellent. The chef/owner Anthony stopped by our table and was very friendly and courteous. Some unique Italian dishes, generous portions with fresh ingredients, reasonably priced. Highly recommend the carbonara and fettucine alfredo. Very attentive to all our needs and requests.",12/20/2017,5,5,5,5
